Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-01-29,Physical,,https://boxd.it/DzeJm,

Position,Name,Year,URL,Description
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,
2,50 First Dates,2004,https://boxd.it/285c,
3,The African Queen,1951,https://boxd.it/2ai8,
4,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,
5,Air Force One,1997,https://boxd.it/1XQw,
6,Almost Famous,2000,https://boxd.it/29CQ,
7,The Amazing Spider-Man,2012,https://boxd.it/27PI,
8,American History X,1998,https://boxd.it/2bdo,
9,Anger Management,2003,https://boxd.it/1YvO,
10,The Animal,2001,https://boxd.it/1UFg,
11,Any Given Sunday,1999,https://boxd.it/1YmC,
12,Aquaman,2018,https://boxd.it/9ru0,
13,As Good as It Gets,1997,https://boxd.it/268y,
14,Austin Powers: The Spy Who Shagged Me,1999,https://boxd.it/29xQ,
15,The Avengers,2012,https://boxd.it/1xFW,
16,Baby Geniuses,1999,https://boxd.it/1AIO,
17,Batman Forever,1995,https://boxd.it/2ara,
18,Beaches,1988,https://boxd.it/1LUQ,
19,Best in Show,2000,https://boxd.it/1Pqq,
20,Big,1988,https://boxd.it/271S,
21,Billy Madison,1995,https://boxd.it/1UQI,
22,The Birdcage,1996,https://boxd.it/1UTi,
23,Blast from the Past,1999,https://boxd.it/1ToS,
24,Bruce Almighty,2003,https://boxd.it/2aCC,
25,Cape Fear,1991,https://boxd.it/28vu,
26,Captain Phillips,2013,https://boxd.it/3GPK,
27,Captain Ron,1992,https://boxd.it/1OfG,
28,Casablanca,1942,https://boxd.it/2aG0,
29,Casino,1995,https://boxd.it/2ads,
30,Cast Away,2000,https://boxd.it/20i8,
31,The Cell,2000,https://boxd.it/1ZLS,
32,Chill Factor,1999,https://boxd.it/27iO,
33,City of Angels,1998,https://boxd.it/29Bo,
34,Clifford,1994,https://boxd.it/26jw,
35,Coco,2017,https://boxd.it/bYJQ,
36,The Color Purple,1985,https://boxd.it/29oO,
37,Contact,1997,https://boxd.it/29OM,
38,Coyote Ugly,2000,https://boxd.it/21PW,
39,The Cutting Edge,1992,https://boxd.it/1JWK,
40,Dangerous Minds,1995,https://boxd.it/1Xyi,
41,Dante's Peak,1997,https://boxd.it/1YdK,
42,Daylight,1996,https://boxd.it/1UjE,
43,The Day the Earth Stood Still,1951,https://boxd.it/29w4,
44,Dead Poets Society,1989,https://boxd.it/2aSg,
45,Deadpool,2016,https://boxd.it/9fOC,
46,Deep Impact,1998,https://boxd.it/1ZYM,
47,Double Jeopardy,1999,https://boxd.it/1WmA,
48,Down to You,2000,https://boxd.it/1Wb8,
49,Dr. Jekyll and Mr. Hyde,1931,https://boxd.it/25VO,
50,Ellen DeGeneres: Here and Now,2003,https://boxd.it/1F0M,
51,End of Days,1999,https://boxd.it/1XsO,
52,Erin Brockovich,2000,https://boxd.it/2al2,
53,E.T. the Extra-Terrestrial,1982,https://boxd.it/2a1G,
54,Ever After,1998,https://boxd.it/1YDI,
55,Field of Dreams,1989,https://boxd.it/26VK,
56,The Fifth Element,1997,https://boxd.it/71k,
57,Flight of the Navigator,1986,https://boxd.it/1X2m,
58,The Flintstones,1994,https://boxd.it/29mo,
59,Forrest Gump,1994,https://boxd.it/728,
60,Frantic,1988,https://boxd.it/1VFm,
61,Freaky Friday,1976,https://boxd.it/1KRc,
62,Fried Green Tomatoes,1991,https://boxd.it/28qY,
63,The Fugitive,1993,https://boxd.it/230G,
64,Galaxy Quest,1999,https://boxd.it/29gq,
65,George of the Jungle,1997,https://boxd.it/1VQO,
66,Ghost,1990,https://boxd.it/2aLE,
67,The Godfather,1972,https://boxd.it/2aNK,
68,Gone with the Wind,1939,https://boxd.it/29Fq,
69,GoodFellas,1990,https://boxd.it/29FA,
70,The Green Mile,1999,https://boxd.it/2agG,
71,Half Baked,1998,https://boxd.it/1Yy4,
72,Happy Gilmore,1996,https://boxd.it/1Yey,
73,Hard Rain,1998,https://boxd.it/1Ufs,
74,History of the World: Part I,1981,https://boxd.it/1WWS,
75,Hollow Man,2000,https://boxd.it/1YP0,
76,Home Alone,1990,https://boxd.it/29Fg,
77,"Honey, I Shrunk the Kids",1989,https://boxd.it/1YTw,
78,The Hot Chick,2002,https://boxd.it/1SW0,
79,Independence Day,1996,https://boxd.it/2a1w,
80,Indiana Jones and the Last Crusade,1989,https://boxd.it/2baO,
81,Indiana Jones and the Temple of Doom,1984,https://boxd.it/2bb8,
82,Inside Out 2,2024,https://boxd.it/CFrC,
83,Iron Man 2,2010,https://boxd.it/1WZM,
84,"I, Tonya",2017,https://boxd.it/dzR0,
85,Jurassic Park,1993,https://boxd.it/2aA2,
86,A League of Their Own,1992,https://boxd.it/1UdG,
87,Liar Liar,1997,https://boxd.it/28sg,
88,The Lighthouse,2019,https://boxd.it/icFU,
89,The Little Rascals,1994,https://boxd.it/1V8i,
90,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,
91,Love & Basketball,2000,https://boxd.it/1Nu6,
92,The Maltese Falcon,1941,https://boxd.it/29c4,
93,The Man with One Red Shoe,1985,https://boxd.it/1V70,
94,The Mask,1994,https://boxd.it/29rS,
95,The Mask of Zorro,1998,https://boxd.it/1YVi,
96,Masterminds,2016,https://boxd.it/6mTe,
97,Meet the Parents,2000,https://boxd.it/28vE,
98,"Me, Myself & Irene",2000,https://boxd.it/27nY,
