Position,Name,Year,URL,Description,IMDb_Rating,IMDb_Votes,Rotten_Tomatoes_Rating,Metacritic_Rating,Runtime,Genre,Director,Plot,Rated,Box_Office,Awards,IMDb_ID
1,2001: A Space Odyssey,1968,https://boxd.it/2bf0,"",8.3,756379,90,84,149 min,"Adventure, Sci-Fi",Stanley Kubrick,"When a mysterious artifact is uncovered on the Moon, a spacecraft manned by two humans and one supercomputer is sent to Jupiter to find its origins.",G,"$60,481,243",Won 1 Oscar. 18 wins & 14 nominations total,tt0062622
2,50 First Dates,2004,https://boxd.it/285c,"",6.8,400758,45,48,99 min,"Comedy, Drama, Romance",Peter Segal,Henry Roth is a man afraid of commitment until he meets the beautiful Lucy. They hit it off and Henry think he's finally found the girl of his dreams until discovering she has short-term memory loss and forgets him the next day.,PG-13,"$120,908,074",6 wins & 10 nominations total,tt0343660
3,The African Queen,1951,https://boxd.it/2ai8,"",7.7,87155,96,91,105 min,"Adventure, Drama, Romance",John Huston,"In WWI East Africa, a gin-swilling Canadian riverboat captain is persuaded by a strait-laced English missionary to undertake a trip up a treacherous river and use his boat to attack a German gunship.",PG,,Won 1 Oscar. 7 wins & 9 nominations total,tt0043265
4,A.I. Artificial Intelligence,2001,https://boxd.it/29Ve,"",7.2,332043,76,65,146 min,"Adventure, Drama, Sci-Fi",Steven Spielberg,"A highly advanced robotic boy longs to become ""real"" so that he can regain the love of his human mother.",PG-13,"$78,616,689",Nominated for 2 Oscars. 18 wins & 71 nominations total,tt0212720
5,Air Force One,1997,https://boxd.it/1XQw,"",6.5,215196,79,62,124 min,"Action, Crime, Drama",Wolfgang Petersen,"Communist radicals led by Ivan Korshunov hijack Air Force One with US President James Marshall and his family on board. Vice President Kathryn Bennett negotiates from Washington D.C., while Marshall fights to rescue the hostages o...",R,"$172,956,409",Nominated for 2 Oscars. 7 wins & 13 nominations total,tt0118571
6,Almost Famous,2000,https://boxd.it/29CQ,"",7.9,304947,91,90,122 min,"Adventure, Comedy, Drama",Cameron Crowe,A high-school boy in the early 1970s is given the chance to write a story for Rolling Stone magazine about an up-and-coming rock band as he accompanies them on their concert tour.,R,"$32,534,850",Won 1 Oscar. 54 wins & 103 nominations total,tt0181875
7,The Amazing Spider-Man,2012,https://boxd.it/27PI,"",,,,,,,,,,,,
8,American History X,1998,https://boxd.it/2bdo,"",8.5,1238616,84,62,119 min,"Crime, Drama",Tony Kaye,"Living a life marked by violence, neo-Nazi Derek finally goes to prison after killing two black youths. Upon his release, Derek vows to change; he hopes to prevent his brother, Danny, who idolizes Derek, from following in his foot...",R,"$6,719,864",Nominated for 1 Oscar. 4 wins & 15 nominations total,tt0120586
9,Anger Management,2003,https://boxd.it/1YvO,"",,,,,,,,,,,,
10,The Animal,2001,https://boxd.it/1UFg,"",4.8,66123,30,43,84 min,"Comedy, Sci-Fi",Luke Greenfield,"After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",PG-13,"$57,743,062",6 nominations total,tt0255798
